step,x,y,goal_x,goal_y
0,0,0,5,5
1,-1,0,5,5
2,-1,1,5,5
3,-1,2,5,5
4,-2,2,5,5
5,-2,3,5,5
6,-2,4,5,5
7,-1,4,5,5
8,-1,3,5,5
9,-1,4,5,5
10,-1,3,5,5
11,-1,4,5,5
12,-1,3,5,5
13,-1,4,5,5
14,-1,3,5,5
15,-1,4,5,5
16,-1,3,5,5
17,-1,4,5,5
18,-1,3,5,5
19,-1,4,5,5
20,-1,3,5,5
21,-1,4,5,5
22,-1,3,5,5
23,-1,4,5,5
24,-1,3,5,5
25,-1,4,5,5
26,-1,3,5,5
27,-1,4,5,5
28,-1,3,5,5
29,-1,4,5,5
30,-1,3,5,5
31,-1,4,5,5
32,-1,3,5,5
33,-1,4,5,5
34,-1,3,5,5
35,-1,4,5,5
36,-1,3,5,5
37,-1,4,5,5
38,-1,3,5,5
39,-1,4,5,5
40,-1,3,5,5
41,-1,4,5,5
42,-1,3,5,5
43,-1,4,5,5
44,-1,3,5,5
45,-1,4,5,5
46,-1,3,5,5
47,-1,4,5,5
48,-1,3,5,5
49,-1,4,5,5
50,-1,3,5,5
51,-1,4,5,5
52,-1,3,5,5
53,-1,4,5,5
54,-1,3,5,5
55,-1,4,5,5
56,-1,3,5,5
57,-1,4,5,5
58,-1,3,5,5
59,-1,4,5,5
60,-1,3,5,5
61,-1,4,5,5
62,-1,3,5,5
63,-1,4,5,5
64,-1,3,5,5
65,-1,4,5,5
66,-1,3,5,5
67,-1,4,5,5
68,-1,3,5,5
69,-1,4,5,5
70,-1,3,5,5
71,-1,4,5,5
72,-1,3,5,5
73,-1,4,5,5
74,-1,3,5,5
75,-1,4,5,5
76,-1,3,5,5
77,-1,4,5,5
78,-1,3,5,5
79,-1,4,5,5
80,-1,3,5,5
81,-1,4,5,5
82,-1,3,5,5
83,-1,4,5,5
84,-1,3,5,5
85,-1,4,5,5
86,-1,3,5,5
87,-1,4,5,5
88,-1,3,5,5
89,-1,4,5,5
90,-1,3,5,5
91,-1,4,5,5
92,-1,3,5,5
93,-1,4,5,5
94,-1,3,5,5
95,-1,4,5,5
96,-1,3,5,5
97,-1,4,5,5
98,-1,3,5,5
99,-1,4,5,5
100,-1,3,5,5
